depth_tag;target;algo;params;ok;reason;n;k_used;cv_group;rmse;rmse_std;r2;r2_std
dados_010;rmp;rf;"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.21251106405519593;0.05971039940917504;0.824715635279694;0.1674552876582357
dados_010;rmp;rf;"{""max_depth"": null, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;0.28007234223441674;0.09684413585464055;0.804724803951983;0.11281040506115166
dados_010;rmp;rf;"{""max_depth"": 3, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;0.19790216065342495;0.06051732813457686;0.8496412267055105;0.14189741024756303
dados_010;rmp;rf;"{""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.20896495894164843;0.0645967622793214;0.845914605085154;0.13697993895439242
dados_010;rmp;rf;"{""max_depth"": 3, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;0.2815347340308153;0.09936677900481795;0.8062082394636825;0.10784403106075054
dados_010;rmp;rf;"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;0.20448011461261184;0.04901239900325983;0.7948539644544184;0.22272781096302274
dados_010;rmp;rf;"{""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.21039167328801792;0.060872553491519814;0.8264612479774724;0.16654690055730126
dados_010;rmp;rf;"{""max_depth"": 5, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;0.2802203263071192;0.09694860529449578;0.8046165367167584;0.11275877710204511
dados_010;rmp;rf;"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;0.2071435878981204;0.047403799889630734;0.7961278784091546;0.21862276818932744
dados_010;rmp;rf;"{""max_depth"": 8, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.21283307430501552;0.059127288371815495;0.8246334800781181;0.1673686158373865
dados_010;rmp;rf;"{""max_depth"": 8, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;0.28007234223441674;0.09684413585464055;0.804724803951983;0.11281040506115166
dados_010;rmp;gbr;"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}";True;;108;3;parcela;0.2896341772322029;0.09460704537463377;0.6824220410514469;0.29174732063184117
dados_010;rmp;gbr;"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}";True;;108;3;parcela;0.3094444059629375;0.11918913823615213;0.628480326455227;0.3404472632043537
dados_010;rmp;gbr;"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.3092404523649019;0.11650906022861367;0.6532825393355615;0.30395575235117145
dados_010;rmp;gbr;"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600}";True;;108;3;parcela;0.30716691777795824;0.1217762131322909;0.6451369675897802;0.3171614283537249
dados_010;rmp;gbr;"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 900}";True;;108;3;parcela;0.3123547608543294;0.1193652708557889;0.6473080453298315;0.30793213248641105
dados_010;rmp;gbr;"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 900}";True;;108;3;parcela;0.30693532773743754;0.12238101175264443;0.6471854379016314;0.3141334560468243
dados_010;rmp;gbr;"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}";True;;108;3;parcela;0.2767533402669084;0.06611873293249444;0.6778164728663988;0.32255201137382994
dados_010;rmp;gbr;"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}";True;;108;3;parcela;0.2925538686103308;0.08987584761711434;0.6295714511447869;0.3706513018525866
dados_010;rmp;gbr;"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.2771214943001016;0.06312816231975321;0.6671290038399903;0.3393105183407722
dados_010;rmp;gbr;"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 600}";True;;108;3;parcela;0.29224761741189126;0.09130748619457511;0.634741978425671;0.36264573472315625
dados_010;rmp;gbr;"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 900}";True;;108;3;parcela;0.27871168394367707;0.06492900986690889;0.665635718635199;0.3392631664284357
dados_010;rmp;gbr;"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 900}";True;;108;3;parcela;0.29223753391256707;0.0913026149973162;0.6349218995499863;0.36238405538000856
dados_010;rmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300}";True;;108;3;parcela;0.30045645047577146;0.08769435923115691;0.6347814864087664;0.3532609582911561
dados_010;rmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 300}";True;;108;3;parcela;0.3096995258063942;0.12041708921407214;0.6209800691992927;0.35104324656149893
dados_010;rmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.3047258659128736;0.09226772621232002;0.6266466343961953;0.35876794479016244
dados_010;rmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 600}";True;;108;3;parcela;0.30976148488166005;0.1203179323094787;0.620545902786946;0.3516599903514168
dados_010;rmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 900}";True;;108;3;parcela;0.3050698804532593;0.09237700047675887;0.6255716376790765;0.35993256256214823
dados_010;rmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 900}";True;;108;3;parcela;0.309769852494769;0.12031905124373028;0.6205055401192574;0.3517099720060876
