ano,profundidade_cm,parcela,cultura,dmg,dmp,rmp,densidade,estoque_c,na,icv,altura,diam_espiga,comp_espiga,n_plantas,n_espigas,n_espigas_com,peso_espigas,produtividade
,0-10,MT,Millet,1.785017389347274,2.2448727884466106,2.0149450888969422,-0.3845867261870521,-0.29067523636783743,5.1,1.3981159993760282,2.2,51.8,25.6,13666.666666666666,13000.0,10666.666666666666,2733.3333333333335,10666.666666666666
,0-10,MT,Millet,0.5509820357352975,1.2710385326254265,0.911010284180362,-0.2398468804327672,-0.12420084087490438,19.4,1.3981159993760282,2.25,51.8,25.6,13666.666666666666,13000.0,10666.666666666666,2733.3333333333335,10666.666666666666
,0-10,MT,Millet,0.12647148710603984,0.4477964365022433,0.2871339618041416,-0.17609629668481508,-0.05087728690498428,35.8,1.3981159993760282,2.1,51.8,25.6,13666.666666666666,13000.0,10666.666666666666,2733.3333333333335,10666.666666666666
,0-10,MT,Millet,-0.4922098356914584,-0.7358320826246555,-0.614020959158057,4.133898525989394,4.9309447285938335,10.533,1.6590084585897358,2.3,54.8,22.0,15833.333333333334,16000.0,9833.333333333334,2566.6666666666665,9833.333333333334
,0-10,MT,Millet,-0.49965924455885585,-0.5531825933104043,-0.52642091893463,3.93711738737963,4.703612908915779,10.533,1.6590084585897358,2.4,54.8,22.0,15833.333333333334,16000.0,9833.333333333334,2566.6666666666665,9833.333333333334
,0-10,MT,Millet,-0.3730865240156095,-0.2785916438693685,-0.325839083942489,4.786040977084525,5.684333651659117,10.533,1.6590084585897358,2.3,54.8,22.0,15833.333333333334,16000.0,9833.333333333334,2566.6666666666665,9833.333333333334
,0-10,MT,Sunn hemp,-0.2873351320067767,-0.10719792178328039,-0.19726652689502855,0.05386116612030731,-0.11464474377655816,3.5,-0.16723875590622275,1.9,51.2,23.4,12666.666666666666,14000.0,9000.0,2666.6666666666665,9000.0
,0-10,MT,Sunn hemp,-0.3066520339604362,-0.18897299906112439,-0.2478125165107803,-0.1273075846328085,-0.24464772278449776,4.2,-0.16723875590622275,1.95,51.2,23.4,12666.666666666666,14000.0,9000.0,2666.6666666666665,9000.0
,0-10,MT,Sunn hemp,-0.4563099771211128,-0.6419374750539855,-0.5491237260875491,-0.46817805283615577,-0.48924937808130203,45.3,-0.16723875590622275,1.9,51.2,23.4,12666.666666666666,14000.0,9000.0,2666.6666666666665,9000.0
,0-10,MT,Sunn hemp,0.7914403471141098,1.501081405394988,1.1462608762545488,-0.33059388484949953,-0.25143779905288804,6.4,1.0502593870910832,2.3,55.8,23.0,14666.666666666666,15833.333333333334,12166.666666666666,3183.3333333333335,12166.666666666666
